"product_name","units_sold","gross_revenue_in_thousand_usd","total_discount_in_thousand_usd","net_revenue_in_thousand_usd","revenue_pct","penetration_pct"
"Blue Polo Shirt - Mens","1281","73.02","8.97","64.05","17.32","51.60"
"Grey Fashion Jacket - Womens","1254","67.72","8.52","59.20","16.00","49.63"
"White Tee Shirt - Mens","1198","47.92","5.85","42.07","11.37","48.65"
"Navy Solid Socks - Mens","1190","42.84","5.26","37.58","10.16","50.99"
"Black Straight Jeans - Womens","1224","39.17","4.92","34.24","9.26","50.37"
"Pink Fluro Polkadot Socks - Mens","1246","36.13","4.30","31.83","8.61","50.25"
"Khaki Suit Jacket - Womens","1296","29.81","3.56","26.25","7.10","54.43"
"Indigo Rain Jacket - Womens","1245","23.66","2.93","20.72","5.60","51.11"
"White Striped Socks - Mens","1252","21.28","2.52","18.76","5.07","51.48"
"Navy Oversized Jeans - Womens","1224","15.91","1.93","13.98","3.78","49.38"
