"product_name","units_sold","gross_revenue_in_thousand_usd","total_discount_in_thousand_usd","net_revenue_in_thousand_usd","revenue_pct","penetration_pct"
"Grey Fashion Jacket - Womens","1300","70.20","8.58","61.62","16.70","52.05"
"Blue Polo Shirt - Mens","1214","69.20","8.52","60.67","16.44","49.88"
"White Tee Shirt - Mens","1256","50.24","6.17","44.07","11.94","50.24"
"Navy Solid Socks - Mens","1264","45.50","5.56","39.95","10.82","50.72"
"Black Straight Jeans - Womens","1238","39.62","4.86","34.75","9.42","49.28"
"Pink Fluro Polkadot Socks - Mens","1157","33.55","4.09","29.46","7.98","47.83"
"Khaki Suit Jacket - Womens","1225","28.18","3.44","24.74","6.70","48.55"
"Indigo Rain Jacket - Womens","1225","23.28","2.85","20.42","5.53","49.15"
"White Striped Socks - Mens","1150","19.55","2.36","17.19","4.66","48.19"
"Navy Oversized Jeans - Womens","1257","16.34","2.02","14.32","3.88","51.09"
