"product_name","units_sold","gross_revenue_in_thousand_usd","total_discount_in_thousand_usd","net_revenue_in_thousand_usd","revenue_pct","penetration_pct"
"Blue Polo Shirt - Mens","1324","75.47","9.33","66.14","16.78","50.70"
"Grey Fashion Jacket - Womens","1322","71.39","8.30","63.09","16.00","51.28"
"White Tee Shirt - Mens","1346","53.84","6.37","47.47","12.04","53.14"
"Navy Solid Socks - Mens","1338","48.17","5.84","42.33","10.74","51.98"
"Black Straight Jeans - Womens","1324","42.37","4.96","37.41","9.49","49.88"
"Pink Fluro Polkadot Socks - Mens","1367","39.64","4.56","35.08","8.90","52.79"
"Khaki Suit Jacket - Womens","1231","28.31","3.25","25.06","6.36","46.86"
"Indigo Rain Jacket - Womens","1287","24.45","2.86","21.59","5.48","49.77"
"White Striped Socks - Mens","1253","21.30","2.53","18.77","4.76","49.53"
"Navy Oversized Jeans - Womens","1375","17.88","2.18","15.69","3.98","52.33"
