"segment_name","product_name","net_revenue_in_thousand_usd","revenue_pct"
"Jacket","Grey Fashion Jacket - Womens","183.91","56.99"
"Jacket","Khaki Suit Jacket - Womens","76.05","23.57"
"Jacket","Indigo Rain Jacket - Womens","62.74","19.44"
"Jeans","Black Straight Jeans - Womens","106.41","58.14"
"Jeans","Navy Oversized Jeans - Womens","43.99","24.04"
"Jeans","Cream Relaxed Jeans - Womens","32.61","17.82"
"Shirt","Blue Polo Shirt - Mens","190.86","53.53"
"Shirt","White Tee Shirt - Mens","133.62","37.48"
"Shirt","Teal Button Up Shirt - Mens","32.06","8.99"
"Socks","Navy Solid Socks - Mens","119.86","44.24"
"Socks","Pink Fluro Polkadot Socks - Mens","96.38","35.57"
"Socks","White Striped Socks - Mens","54.72","20.20"
